Designation,Company Name,Salary,Experience,Location,Role,Skills,Qualification,Industry Type,Functional Area,Employment Type,Role Category,Address,Post By,Post Date,Website,Url,About Company,Job Description
Python Developer - Django Framework (1-5 yrs),Squareroot Consulting Pvt Ltd.,Not Disclosed,1 - 5 years,Bangalore/Bengaluru,"Full Stack Developer,","Data Science,Django,Artificial Intelligence,Python","['UG :B.Tech/B.E. in Computers', 'PG :M.Tech in Computers', 'Doctorate :Other Doctorate']","Internet,","Engineering - Software & QA,","Full Time, Permanent",Software Development,http://jobs.squarerootindia.com,NA, 5 days ago,https://www.naukri.com/squareroot-consulting-jobs-careers-2172866?src=jddesktop,https://www.naukri.com/squareroot-consulting-jobs-careers-2172866?src=jddesktop,"With industries facing many problems in a globalized world where recruitment is one of that. Squareroot is a flagship organization in rendering end to end recruitment solution in IT and Non IT related industry. Our company is located in Indian Silicon Valley Bangalore. And with great Experience people in search industry. We have team which has helped the many people from premier institutes like IIT, IIM and other global institutes full fill their dreams in industry. We endeavor assisting right people to right organization. Specialize in Executive Leadership Hiring along with Recruitment Process Outsourcing, Permanent Staffing, Contract Staffing, Payroll Management. We provide creative and innovative solution to challenging and complex recruitment problems.","Job descriptionRoles and Responsibilities We are hiring for AI based product startup headquartered in Bangalore. Looking for a passionate Software Engineers to strengthen our platform which will built on using next-generation platform mainly on data science and artificial intelligence.  Experience : 1 to 5 Years Education : BE/BTech (Only from IIT)Location : Bangalore Job Description :  - We are looking at a person who is extremely hands-on and passionate to work on high scalable product using Python/Django. - Should be very strong on Algorithm, Data Structure & Multithreading. - Posses the ability to work well in a fast-paced product startup.. - Hands on experience in architecture and data modelling. - Work on micro-services based architecture and design, Scale systems using RabbitMQ/Kafka. - Good Understanding of Apache Lucene, Elastic search for using search.   Tech Stacks: Python, Django, HTML/CSS/JavaScript, MySQL, Solr, MongoDB, Memcache, Redis, RabbitMQRoleFull Stack Developer,Industry TypeInternet,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersDoctorate :Other DoctorateKey SkillsData ScienceDjangoArtificial IntelligencePython"

"Excellent Opportunity For Python Developers, Pune/Noida",acmeture Global Consulting Services   ,Not Disclosed,2 - 7 years,"Noida,Pune","Technology / IT - Other,","python,Django,lambda,celery,postgresql,Pytest,flask","['UG :B.Tech/B.E. in Any Specialization', 'PG :M.Tech in Any Specialization']","Software Product,","Project & Program Management,","Full Time, Permanent",Technology / IT,"Agiliad Technologies Private Ltd.

Address: Godrej Castlemaine, 1st floor,

Next to Ruby Hall Clinic,

42 Sassoon road, Pune -01",Smita Jadhav-KachareManaging Partner at acmeture Global Consulting Services, 10 days ago,https://www.naukri.com/acmeture-global-consulting-services-jobs-careers-1558270?src=jddesktop,https://www.naukri.com/acmeture-global-consulting-services-jobs-careers-1558270?src=jddesktop," Working @ Agiliad TechnologiesAgiliad is an engineering and R&D house and provide product design services globally to hi-tech companies. We have a strong domain focus in medical devices, Storage, Cloud and Computing platforms, and Industrial Automation.We are a niche company with 800+ highly skilled engineers.The company name Agiliad is made up of two words: Agility (quick response) and Iliad (heroic efforts). We pride ourselves on our agility to adapt seamlessly to new market needs, customer requirements or technological change, and thrive in an environment of constant change. We endeavour to work on complex and challenging systems and engineering problems and where possible create a meaningful difference by focusing on critical needs.Some of the key points why someone should look at Agiliad:Highly differentiated product engineering service providerOpportunity to work on some exciting technologies... we work all the way from board design, embedded systems to application development.Focus is to build high impact smaller teams.Very intense environment, execution focus, most of the projects follow Agile development.","Job description Job Description-Experience: 2-12 YearsLocation: Pune/Noida Max 30 Days.Python DeveloperResponsibilities:Design, build, and maintain efficient, reusable, and reliable Python codeDesign and implement software platform with Microservices Architecture, based on AWS Lambda and Event sourced dataIntegration of data storage solutions {may include databases, key-value stores, notification queues, etc.}Identify bottlenecks and bugs, and devise solutions to these problemsHelp maintain code quality, organization and automatizationParticipate in early product demonstrations to customersExperience required:Bachelor's or Masters in Computer Science or a related discipline3-8 years of relevant professional experienceDelivery of quality results within aggressive timelinesKnowledge of software development processesSkills Required:Experience with Python, along with other common libraries/framework such as Flask, Celery, Django etc.,Good understanding with usage of Lambda in Python.Good understanding in testing frameworks like PyTest.Ability to work with IDEs like Visual Studio Code.Basic understanding in developing private PIP packages.Solid understanding of object-oriented programming.Familiarity with concepts of MVC, Mocking, ORM, and RESTful.A knack for writing clean, readable Python code.Ability to integrate multiple data sources and databases into one system.Ability to understand monitoring metrics, such as CPU, Memory, Disk Space, Network latency, and telemetry services.Understanding of fundamental design principles behind a scalable application.Understanding the fundamental of RDBMS databases.Ability to work with PostgreSQL is a plus.Ability to work with AWS services like Lambda, Kinesis, SQS, SNS etc., is a plus.Proficient understanding of Git.Familiarity with continuous integration and continuous deployment.Effective verbal and written communication skills.Integration with various backend monitoring tools Roles and Responsibilities Interested candidates kindly share your resume to smita.kachare@acmeture.com with below details -Total ExpRelevant ExpCurrent CTCExpected CTCNotice PeriodCurrent LocationReady to relocate toRoleTechnology / IT - Other,Industry TypeSoftware Product,Functional AreaProject & Program Management,Employment TypeFull Time, PermanentRole CategoryTechnology / ITEducationUG :B.Tech/B.E. in Any SpecializationPG :M.Tech in Any SpecializationKey SkillspythonDjangolambdacelerypostgresqlPytestflaskSkills highlighted with ‘‘ are preferred keyskills"

Odoo Python Developer,Pixuate (COCOSLABS INNOVATIVE SOLUTIONS PRIVATE LIMITED),Not Disclosed,3 - 6 years,Bangalore/Bengaluru,"Back End Developer,","python,Odoo Development,Html And Css,web development","['UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization']","Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"3rd Floor and 4th Floor, No.64, Railway Parallel, Kumara Park West, BANGALORE, Karnataka, India",PixuateCompany Recruiter at COCOSLABS INNOVATIVE SOLUTIONS PRIVATE LIMITED, 15 days ago,https://www.naukri.com/cocoslabs-innovative-solutions-jobs-careers-3021846?src=jddesktop,https://www.naukri.com/cocoslabs-innovative-solutions-jobs-careers-3021846?src=jddesktop," Pixuate, owned by Cocoslabs Innovative Solutions Pvt. Ltd., is a leading AI startup building the most advanced Edge based video analytics products. We are recognized for our cutting-edge R&D in deep learning, computer vision and AI and we are solving some of the most challenging problems faced by enterprises. Pixuates plug-and-play platform revolutionizes monitoring, compliance to safety, and efficiency improvement for Industries, Banks & Enterprises by providing actionable real-time insights leveraging CCTV cameras. We have enabled our customers such as Hindustan Unilever, Godrej, Secuira, L&T, Bigbasket, Microlabs, Karnataka Bank etc and rapidly expanding our business to cater to the needs of Manufacturing & Logistics, Oil and Gas sector. Rewards & Recognitions:Winner of Elevate by Startup Karnataka (https://pixuate.ai/thermal-analytics/). Winner of Manufacturing Innovation Challenge in the 2nd edition of Fusion 4.0s MIC2020 organized by the NASSCOM Centre of Excellence in IoT & AI in 2021Winner of SASACT program organized by MEITY in 2021  Why join us?You will get an opportunity to work with the founders and be part of 0 to 1 journey, get coached and guided & learn the nuances of business. You will also get an opportunity to excel your skills by being innovative and contributing to the area of your personal interest. Our culture encourages innovation, freedom and rewards high performers with faster growth and recognition.   Where to find us?Website: http://pixuate.com/   Linked in: https://www.linkedin.com/company/pixuate-ai ","Job descriptionPixuate is a deep-tech AI start-up enabling businesses make smarter decisions with our edge-based video analytics platform and offer innovative solutions across traffic management, industrial digital transformation, and smart surveillance. We aim to serve enterprises globally as a preferred partner for digitization of visual information.Job DescriptionWe are looking for a Odoo developer to join our core product development team having hands-on experience of web development using Python. An ideal candidate will be innovative, have strong coding and unit testing skills, has a passion for developing great software, proactively grasps the problem and enjoys solving problems in a challenging environment, and has the desire to take their career to the next level. In this role, you will work on multiple projects which are critical to Pixuates growth. If any of these opportunities excite you, we would love to talk. What do we expect from this role?Participate in requirements analysis Collaborate with internal teams to produce software design and architecture Write clean, scalable code using Python programming language Design features, user interactions on web pages, develop APIsCreate servers and databases for functionalityDevelop front end website architecture & back-end web applicationsLead implementation, troubleshoot issues, ensure responsiveness of applications and see through a project from conception to finished productDevelop documentation throughout the software development life cycle (SDLC) Serve as an expert on applications and provide technical supportDevelop technical interfaces, specifications and architecture You would be great at this job, if you have below mentioned competenciesMinimum 3 years of Professional Web development experience using Python Designing and developing Odoo apps (eg. new module development, customization).Proficiency with fundamental front end languages such as HTML, CSS and JavaScript.Hands-On Experience on server-side technologies like Python, server-side Javascript, Understand REST APIs and have built them on at-least one web framework. Bonus points if you understand GraphQL too.B.Tech /M.Tech preferably in Computer Science Strong interpersonal and communication skillsAn open mind to learn new concepts and implement to solve real world problems RoleBack End Developer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any Specialization, BCA in Any SpecializationKey SkillspythonOdoo DevelopmentHtml And Cssweb developmentSkills highlighted with ‘‘ are preferred keyskills"

Career Opportunity For Python Developer | Vitesco Technologies BLR.,Vitesco Technologies4.3(89 Reviews),Not Disclosed,4 - 6 years,Bangalore/Bengaluru,"Software Development - Other,","Python Development,Virtual Platforms,Python,Agile,VP,Scrum","['UG :B.Tech/B.E. in Any Specialization, Any Graduate']","Automobile,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"SNo 275 282 part,,,Taluka Mulshi,Maan, PUNE, Maharashtra, India",Chandrika SubravatiRecruitment Head at Vitesco Technologies, 11 days ago,https://www.naukri.com/vitesco-technologies-jobs-careers-5596240?src=jddesktop,https://www.naukri.com/vitesco-technologies-jobs-careers-5596240?src=jddesktop," Vitesco Technologies is a leading international developer and manufacturer of state-of-the-art powertrain technologies for sustainable mobility. With smart system solutions and components for electric, hybrid and internal combustion vehicles, Vitesco Technologies makes mobility clean, efficient and affordable. The product range includes electric drives, electronic control units, sensors and actuators, and exhaust-gas aftertreatment solutions. In 2019, Vitesco Technologies, a Continental business area, recorded sales of EUR 7.8 billion and employs almost 40,000 people at around 50 locations worldwide. Vitesco Technologies is headquartered in Regensburg, Germany.","Job descriptionRoles and Responsibilities  VP - Automation tool developer (Python Developers)1) Good scripting and Automation knowledge using python or similar scripting language2) Good Experience working on Embedded testing and debugging3)  Ability to understand the HW-SW interaction in ECUs4) Experience working in Agile teams/methodology such as Scrum5) Experience working on simulation tools is an added advantage6) Good exposure and communication skills to work with European teamsRoleSoftware Development - Other,Industry TypeAutomobile,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any Specialization, Any GraduateKey SkillsPython DevelopmentVirtual PlatformsPythonAgileVPScrumSkills highlighted with ‘‘ are preferred keyskills"

Python Developer - AWS Package,Harman Connected Services Corporation India Pvt.3.9(939 Reviews),Not Disclosed,3 - 5 years,"United States (USA),Bangalore/Bengaluru","IT & Information Security - Other,","Backend,Automation,Due diligence,Claims,Staffing,Agile,Wellness,Technical support,Android,Python","['UG :Any Graduate', 'PG :Any Postgraduate']","Consumer Electronics & Appliances,","IT & Information Security,","Full Time, Permanent",IT & Information Security - Other,https://jobs.harman.com/job/bengaluru/python-developer-aws-package/27625/34867005040,NA, 14 days ago,https://www.naukri.com/harman-jobs-careers-1424888?src=jddesktop,https://www.naukri.com/harman-jobs-careers-1424888?src=jddesktop,"Headquartered in Stamford, Connecticut, HARMAN (harman.com) designs and engineers connected products and solutions for automakers, consumers, and enterprises worldwide, including connected car systems, audio and visual products, enterprise automation solutions; and services supporting the Internet of Things.  With leading brands including AKG, Harman Kardon, Infinity, JBL, Lexicon, Mark Levinsonand Revel, HARMAN is admired by audiophiles, musicians and the entertainment venues where they perform around the world. More than 50 million automobiles on the road today are equipped with HARMAN audio and connected car systems. Our software services power billions of mobile devices and systems that are connected, integrated and secure across all platforms, from work and home to car and mobile. HARMAN has a workforce of approximately 30,000 people across the Americas, Europe, and Asia. In March 2017, HARMAN became a wholly-owned subsidiary of Samsung Electronics Co., Ltd. HARMAN is an Equal Opportunity, Affirmative Action employer.","Job description   Primary Skills      Expertise in at least one popular Python Backend Development framework.        In-depth experience in server less architecture and Building Lambda functions with Python      Secondary Skills      Strong knowledge of JSON data handling, AWS services and their working     Knowledge of SQS and Step Functions, AWS IAM, CloudFront     Good understanding of identity management and authentication protocols such as OAuth 2.0,OIDC.   Knowledge of object-relational mapping (ORM) with exposure to frameworks like SQLAlchemy     Knowledge of DynamoDB     Knowledge of API Gateway, RESTful/SOAP APIs build and design     Build solutions using AWS Cloud Native patterns     Ability to integrate multiple data sources into a single system.     Familiarity with testing tools     Knowledge on RDS, AWS AppSync     Knowledge of AWS ECS, VPC     Ability to collaborate on projects and work independently when required     A deep understanding and multi-process architecture and the threading limitations of Python   RoleIT & Information Security - Other,Industry TypeConsumer Electronics & Appliances,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT & Information Security - OtherEducationUG :Any GraduatePG :Any PostgraduateKey SkillsBackendAutomationDue diligenceClaimsStaffingAgileWellnessTechnical supportAndroidPython"

Python Developer Lead,Majorel3.9(209 Reviews),"₹ 9,50,000 - 19,50,000 P.A. ",5 - 8 years,Bangalore/Bengaluru,"Technical Lead,","python,pyspark,Apache Spark,MySQL,Pandas,HDFS,numpy,Angular,HIVE,dictionary,JavaScript,HTML5,MongoDB,threading,Data structure,OOPS Concept,Web Services",['UG :Any Graduate'],"Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"Plot no 512 and 513, Udyog Vihar, Phase III,, Udyog Vihar, Phase III, Gurgaon,, Haryana, 122016, GURGAON, Haryana, India",Manisha SahuCompany Recruiter at MAJOREL INDIA PRIVATE LIMITED, 15 days ago,https://www.naukri.com/majorel-jobs-careers-4944752?src=jddesktop,https://www.naukri.com/majorel-jobs-careers-4944752?src=jddesktop,Recruiters Required : 1-2 years of strong  Direct sourcing experience,"Job description Job descriptionThe successful applicant will be responsible for design and development of product/project modules, working on customer facing projects or on enliven CEM platform.Required Candidate profileThe individual will take complete ownership of the product development from requirement gathering till deployment.The candidate will work closely with customers, partners and software teams in designing and developing high-volume backend products.Should have worked on a complete product development cycle at least for one product from beginning till deployment in any one of the following domain telecom, mobile, networking, retail, ecommerce.Should have experience working in Agile environment.Ability to write Quality code with minimum defects.Have to work on writing consumer/producer web service APIMust contribute pro-actively for any R&D activity.Skills RequiredB.Tech /B.E in Computer Science, Software Engineering, MS or equivalent preferred.Strong presentation and communication skills.Should be a go-getter, ready to shoulder more responsibilities, shows enthusiasm and interest in work.Excellent core Python skills including threading, dictionary, OOPS Concept, Data structure, Web service.Should have work experience on following stacks/libraries: Pandas, Apache Spark, pySpark, NumPyFamiliarity with some ORM (Object Relational Mapper) librariesAble to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architectureFamiliarity with event-driven programming in PythonBasic understanding of front-end technologies, such as Angular, JavaScript, HTML5, and CSS3Writing reusable, testable, and efficient codeDesign and implementation of low-latency, high-availability, and performant applicationsUnderstanding of accessibility and security complianceExperience in both RDBMS(MySQL), NoSQL databases (MongoDB, HDFS, HIVE etc) or in-memory caching technologies such as ehcache etc is preferable.Strong unit test and debugging skillsProficient understanding of code versioning tools such as Git etc..Data science knowledge, certification will be added advantage.Interested candidate please send resume to manisha.sahu@majorel.comRegards,HRMajorel RoleTechnical Lead,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillspythonpysparkApache SparkMySQLPandasHDFSnumpyAngularHIVEdictionaryJavaScriptHTML5MongoDBthreadingData structureOOPS ConceptWeb ServicesSkills highlighted with ‘‘ are preferred keyskills"

Python Developer Lead,Majorel3.9(209 Reviews),"₹ 9,50,000 - 19,50,000 P.A. ",5 - 8 years,Bangalore/Bengaluru,"Technical Lead,","python,pyspark,Apache Spark,MySQL,Pandas,HDFS,numpy,Angular,HIVE,dictionary,JavaScript,HTML5,MongoDB,threading,Data structure,OOPS Concept,Web Services",['UG :Any Graduate'],"Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"Plot no 512 and 513, Udyog Vihar, Phase III,, Udyog Vihar, Phase III, Gurgaon,, Haryana, 122016, GURGAON, Haryana, India",Manisha SahuCompany Recruiter at MAJOREL INDIA PRIVATE LIMITED, 15 days ago,https://www.naukri.com/majorel-jobs-careers-4944752?src=jddesktop,https://www.naukri.com/majorel-jobs-careers-4944752?src=jddesktop,Recruiters Required : 1-2 years of strong  Direct sourcing experience,"Job description Job descriptionThe successful applicant will be responsible for design and development of product/project modules, working on customer facing projects or on enliven CEM platform.Required Candidate profileThe individual will take complete ownership of the product development from requirement gathering till deployment.The candidate will work closely with customers, partners and software teams in designing and developing high-volume backend products.Should have worked on a complete product development cycle at least for one product from beginning till deployment in any one of the following domain telecom, mobile, networking, retail, ecommerce.Should have experience working in Agile environment.Ability to write Quality code with minimum defects.Have to work on writing consumer/producer web service APIMust contribute pro-actively for any R&D activity.Skills RequiredB.Tech /B.E in Computer Science, Software Engineering, MS or equivalent preferred.Strong presentation and communication skills.Should be a go-getter, ready to shoulder more responsibilities, shows enthusiasm and interest in work.Excellent core Python skills including threading, dictionary, OOPS Concept, Data structure, Web service.Should have work experience on following stacks/libraries: Pandas, Apache Spark, pySpark, NumPyFamiliarity with some ORM (Object Relational Mapper) librariesAble to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architectureFamiliarity with event-driven programming in PythonBasic understanding of front-end technologies, such as Angular, JavaScript, HTML5, and CSS3Writing reusable, testable, and efficient codeDesign and implementation of low-latency, high-availability, and performant applicationsUnderstanding of accessibility and security complianceExperience in both RDBMS(MySQL), NoSQL databases (MongoDB, HDFS, HIVE etc) or in-memory caching technologies such as ehcache etc is preferable.Strong unit test and debugging skillsProficient understanding of code versioning tools such as Git etc..Data science knowledge, certification will be added advantage.Interested candidate please send resume to manisha.sahu@majorel.comRegards,HRMajorel RoleTechnical Lead,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillspythonpysparkApache SparkMySQLPandasHDFSnumpyAngularHIVEdictionaryJavaScriptHTML5MongoDBthreadingData structureOOPS ConceptWeb ServicesSkills highlighted with ‘‘ are preferred keyskills"

Python/Django Developer,Ajayvision Education4.2(6 Reviews),"₹ 8,00,000 - 15,00,000 P.A. ",2 - 7 years,"Bangalore/Bengaluru,Delhi / NCR","Software Development - Other,","python,Django","['UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG :M.Tech in Any Specialization, MCA in Any Specialization']","Education / Training,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"101,B-1-2 FF,ANSAL BUILDING,COMMERCIAL, COMPLEX,DR. MUKHERJEE NAGAR, Delhi-110009, NEW DELHI, Delhi, India",Vision IASCompany Recruiter at Ajayvision Education Pvt Ltd, 8 days ago,https://www.naukri.com/ajayvision-education-jobs-careers-3908668?src=jddesktop,https://www.naukri.com/ajayvision-education-jobs-careers-3908668?src=jddesktop,"VisionIAS is one of the leading EdTech companies in India and has established herself as a leading brand in the competitive exams sector. Our working domain enfolds preparation for Civil Services Examination (CSE), JEE Mains & Advance, NEET, SSC, Bank PO and K12. VisionIAS is following the hybrid model of education. We have a Pan-India presence with centres across major cities. We are providing all the services online be it Live & Online interactive classes, solving doubts instantly through live chat, Innovative Assessment Systems, and Learning Management systems. The online system is backed by state-of-the-art technologies.To cater to these educational innovations, we combine our expertise with cutting-edge technologies - including integrated Learning Management Systems (LMS) & Enterprise Resource Planning (ERP), high fidelity iOS & Android Apps, secure and effective live-streaming & media delivery platforms, Internet of Things(IoT), Artificial Intelligence(AI) etc. to provide a seamless and end-to-end e-Learning experience.We are catering our services to more than a million students. We ensure that each student has a personalized learning experience. We further aspire to be innovative, creative and futuristic in our solutions to take leadership in the field of education while imbibing proactive work ethos and professional excellence.Join us! Be part of VisionIAS to disrupt the future of education.","Job description Duties and ResponsibilitiesFull-Stack Product & Features Development using Python/Django FrameworkProduct / Feature Design & ArchitectureProduct Deployment & TestingProduct DocumentationProviding timely and effective communication regarding work status, issue escalation, and solution proposals to appropriate stakeholdersTaking lead on productsMust be self-motivated with a good attitude to work in teams and individually.Requirements and qualifications2+ years of industrial experience in Python/Django FrameworkEfficient in writing reusable, scalable and efficient code.Proficiency in databases - MySQL, MongoDB and REDIS.Experience in a microservice-based architectureProficient understanding of code versioning tools, such as GitHub.Knowledge of security to web server, API server and database serverStrong background in Linux/UnixExcellent communication skills, both oral and writtenA good understanding of CI/CD-related technologies is a big plus.A big plus for Node.js expertise.RoleSoftware Development - Other,Industry TypeEducation / Training,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any SpecializationKey SkillspythonDjango"

"Hiring Senior Data Engineer || Python, SQL, Linux, ETL with AWS",Cians Analytics3.5(52 Reviews),Not Disclosed,3 - 8 years,Gurgaon/Gurugram,"Data Engineer,","Linux,Data Pipeline,ETL,Python,Snowflake,AWS","['UG :B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Any Doctorate']","Financial Services,","Engineering - Software & QA,","Full Time, Permanent",Software Development,"11th Floor, MAGNUM TOWER 1, Sector 58, Gurugram, Gurgaon, GURGAON, Haryana, India",NA, 11 days ago,https://www.naukri.com/cians-analytics-jobs-careers-931238?src=jddesktop,https://www.naukri.com/cians-analytics-jobs-careers-931238?src=jddesktop,www.ciansanalytics.com,"Job descriptionJob description :We are hiring for Senior Data Engineer for the Gurgaon location. Immediate joiners preferred.Roles and Responsibilities:1. Acquire, transform and deploy production-level scalable ETL/data pipelines for optimized utilization2. Implement Python libraries to automate data ingestion lifecycle and improve code re-usability3. Troubleshoot data issues and perform root cause analysis to proactively resolve operational issues4. Identify and implement process enhancements by automating manual processes to optimize data delivery5. Partner with data consumers to gather and maintain repository of functional requirements to deliver analytical solutionsMandatory Skills:1. Expertise in Python Core and OOPs development (including data processing with Pandas and Numpy)2. Advanced SQL experience (JOINs, Aggregation, Filteration, Subquery, Grouping, Ranking, Common Table Expressions)3. Linux experience (ability to set up development environment, write Bash commands and familiarity with File System)4. Amazon Cloud tools (Amazon S3 - file upload, download and processing with Python boto3 library)5. Experience with ETL pipelines is a plusRequired background:Experience of at least 4-6 yearsExcellent communication skills (involves frequent client interaction)Education : B-tech/M-tech/MCALocation: Gurgaon (currently WFH)Compensation: Commensurate with experience and skillsetEmail: nkansal@ciansanalytics.comRoleData Engineer,Industry TypeFinancial Services,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Any DoctorateKey SkillsLinuxData PipelineETLPythonSnowflakeAWSSkills highlighted with ‘‘ are preferred keyskills"

"Senior Software Engineer(Automation(python, Devops)",cloudneeti4.1(112 Reviews),Not Disclosed,4 - 7 years,Bangalore/Bengaluru,"Technical Architect,","Unix,VMware,Automation,Linux,Networking,DNS,HTTP,Open source,Python,Firewall","['UG :Any Graduate', 'PG :Any Postgraduate']","Hardware & Networking,","Engineering - Software & QA,","Full Time, Permanent",Software Development,https://www.smartrecruiters.com/Zscaler/743999846872461,NA, 13 days ago,https://www.naukri.com/cloudneeti-jobs-careers-5399656?src=jddesktop,https://www.naukri.com/cloudneeti-jobs-careers-5399656?src=jddesktop,"Zscaler enables the worlds leading organizations to securely transform their networks and applications for a mobile and cloud first world. Its flagship services, Zscaler Internet Access and Zscaler Private Access, create fast, secure connections between users and applications, regardless of device, location, or network. Zscaler services are 100% cloud-delivered and offer the simplicity, enhanced security, and improved user experience that traditional appliances or hybrid solutions are unable to match. Used in more than 185 countries, Zscaler operates the worlds largest cloud security platform, protecting thousands of enterprises and government agencies from cyberattacks and data loss.","Job description   Contribute to the overall QA strategy and processes, and automation on the development side.      Participate in design and implementation of development test infrastructure to support moving services to a Continuous Deployment      Responsible for building test automation infrastructure for unit, integration and regression testing      Architect, develop, execute and maintain comprehensive test automation libraries and frameworks      Write and maintain automation scripts that can build deployable immutable artifacts that can run on different cloud and virtual environments from AWS, AZURE, GCP to VMWare, Hyper-V and on different form-factors like Intel ATOM to ARM.      Responsible for generating quality metrics before releasing features to QA using a combination of manual and automated testing techniques.      Responsible for performance characterization, load testing simulation with ability to generate automated reports and on demand      Work with developers to understand unit test features and pass or fail criteria      Closely collaborate with QA and DevOps, Product and Security teams      Help reproduce production bugs in various lab environments      Work with security team to integrate static and dynamic tools to help achieve security to the left requirements      Owner for provisioning/deprovisioning development test environments on available infrastructure on demand       Qualifications      Minimum 5 years of working on systems, or/and distributed systems with focus on networking/firewall technologies, and cloud infrastructure      Knowledge of AWS or similar cloud computing platforms      Knowledge of virtual environments like OVA, Docker containers, Kubernetes      Knowledge of build automation tools like Jenkins, IT infrastructure automation like Ansible      Hands-on experience in python or similar scripting languages.      Experience with Open source tools and technologies, code repos.      Strong Unix/Linux OS experience      Solid understanding of TCP/IP protocol stack, http, TLS, PKI and other related      protocols and products (DNS, DHCP, VPN, HA, routing and switching)      Good Understanding of security technologies like firewall, IPS, Authentication,VPN      Demonstrates reasonable expertise in software development and development automation      Working experience with REST APIs.      Outstanding written and verbal communication skills.      Self-motivated, a strong team player.      Excellent communication, collaboration, reporting, analytical and problem      A BS/MS degree in computer science or related field.        RoleTechnical Architect,Industry TypeHardware & Networking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsUnixVMwareAutomationLinuxNetworkingDNSHTTPOpen sourcePythonFirewall"

